Entity;Code;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Jamaica;;13,2;17,4;16,3;13,3;19,6;18,3;13,9;14,2;16,6;21,6;18,6;17,5;16,8;17,7;21,6;20,7;20,5;22,1;27;30,8;48,1;42;42,1;48,5;49,7;46,2;43,5;44,3;49;51;74,4;94,3;83,8;76,7;77,7;81,1;92,4
Mexico;;12,4;14,3;14,8;17,4;21,4;24,4;29,8;17,4;20,5;23,4;23,9;27,5;31;32,5;31,5;28,9;27,5;29,7;28,5;39,1;39,6;40,6;42,5;48;49,3;55,1;56,7;45,4;43,9;41,2;47,1;53,1;63,7;68,2;78,6;91,6;128,4
Nicaragua;42;...;...;277,7;16,1;11;9,1;7,9;7,6;6,7;6,3;5,4;5,5;6,2;5,6;6,8;6,8;6,2;6,4;6,9;7,2;7,7;7,4;7,8;8,9;12;12,5;13,5;16,2;13,7;13,8;12,8;11,9;12,2;11,8;12,6;14,5;15,3
Panama;43;44,2;42,9;30,1;31,7;31,1;36,8;38,2;35,8;36,8;42;36,3;38,2;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Trinidad and Tobago;;...;...;...;...;...;17,7;18,8;...;...;...;...;...;...;10,5;14,7;25,3;56,5;72,5;85,3;91,6;101,6;100,7;103,4;105;120,6;150;133,3;141,8;150,9;140,1;114,5;115,7;115,1;142;145,6;162,2;155,7
Canada;;370,5;396;413,7;405,2;380,8;358,2;330,4;313,2;290,9;265,5;256,6;269,5;270;269,8;270,7;314,2;354,5;402,3;454,3;529,1;581,5;563;567,8;622,3;588,8;527,4;503,3;501,2;492,2;608,9;613,6;596,4;607,2;661,8;662,7;697,1;742,2
United States;44;1252,3;1290;1291;1174,4;1259,7;1212,6;1166,6;1108,6;1068,3;1077,1;1059,1;1074,3;1142,8;1173;1324,8;1527,1;1692,2;1812,1;1878,7;1963,5;2164,5;2303;2384,3;2406,6;2297,8;2131,8;2014,3;1952,5;1953;1955,5;2045,4;2182,7;2295,2;2373,1;2527;2674,7;2895,1
Argentina;5;85,5;45;63,1;86,6;97,3;99,3;109,2;109,1;95,7;93,5;94;94,6;88,3;85,1;29,5;36;38;43,6;46,9;57,7;69,4;73,4;84,6;97,6;108,8;121,3;116,4;126,8;103,2;123,8;86,4;69,9;62,7;67,9;95,6;107,4;91,6
Bolivia;10;13,7;14,7;19,4;19,9;19,2;14,6;17,6;18;18,5;22,3;27,8;21,1;20,3;21,8;17,8;19,3;18,2;17,7;17,8;20,3;37,5;30,7;54,2;39,3;47,9;53,3;58,1;53,1;46,8;51;52,8;51,2;43,4;45,1;35,8;48,4;53,1
Brazil;;41,2;60,4;62,5;44,5;32,6;45,6;67;89,2;86,4;84,2;85,5;57,9;65,6;62,4;54,5;46,7;53,8;74;88,3;109,2;129;134,1;176,3;189,9;173,3;166,3;163,9;122,5;119,7;143,5;137,2;125,3;94,1;91,7;97,9;103,4;99
Chile;45;77,6;75,5;77,4;76,6;84,9;92,3;103,2;126,8;130,1;143;140,6;134,2;136,5;121,4;112,8;129,7;166,8;190,6;234,7;242,5;277,1;230,6;286,3;329,3;313,5;314,2;287,1;257,9;264,4;291,9;296,2;271,8;271,4;267,6;238,4;279;259
Colombia;46;28;27,5;27,7;27,8;33;44,8;57,6;73,8;119,5;81,2;90,5;85,2;78,1;82,8;83,7;80,7;98,4;117,4;125,6;157,7;208,1;205,2;234,1;228,9;257,3;272,2;255,5;195,2;183,9;210;208,7;205,5;189,8;199,9;187,8;207,2;286,9
Ecuador;47;20;18,7;19,5;19,7;19,5;25;25,8;41,4;35,8;41,9;45,2;23,9;21,1;30;38,8;55,8;52,6;69,5;68;92,2;113,9;132,6;140;161,4;167,6;174,3;175;160,8;153,4;148,1;150,9;136,3;134,9;136,7;145,8;150,4;149,4
Guyana;48;14,5;8;4,8;2,7;4,8;5,9;7,3;7,5;7,3;...;...;...;16,5;18,8;21,8;21,4;29;24,3;25,2;32,9;40,4;41,2;41,4;43,3;45;47;52,2;61,4;67,8;77,7;80,1;82,8;95,3;94,3;107,7;133,1;243,5
Paraguay;49;47,4;25,3;28,2;48,3;40,4;36,7;36,5;45,7;43,6;35,4;28,7;23,5;21,8;17,7;13,4;12;15,8;14,3;19,5;23,9;30,1;29,9;35,9;49,4;54,8;62,5;66,1;63,2;55,3;55,3;60,6;58,1;55,5;56;54,4;58,5;60,1
Peru;50;35,4;40,5;35,7;31,3;39,8;41,3;47;58,6;56,8;47,1;44,8;38,2;34,5;33,7;30,9;32,5;33,3;43;45,8;46,9;52,5;64,2;75,2;80,7;97,1;111,4;107,4;109,4;82,8;85,7;83,9;85,8;81,2;80,5;84,1;98,3;75,4
Uruguay;;85;96,8;106,1;86,3;117,2;133,1;142,4;164,7;180;178,9;177,4;176,9;170,5;159,9;105,1;82,2;85,1;105,8;119,5;126,4;172,1;174,5;228;248,2;277,6;312,9;308,7;288,5;292,9;344,4;374,7;340;321,2;370,1;382,5;446;512,8
Venezuela;?51;58,9;62,6;37,7;49;48,3;61,3;43,7;54,6;32,7;67,3;62,1;59,1;73,6;77,2;42,5;38,5;55,5;100,3;134,4;158,6;203,2;143,6;139,4;123,4;174,1;208,5;51,7;10,5;7,1;69,1;25,2;0,1;0,1;0,1;0,2;0,1;...
Australia;;354,7;376,5;394,3;407,2;394,2;381,7;419;426,1;450,7;431,1;382,1;413,2;382,5;365,9;407,9;503,7;601,8;656,5;697,1;828,1;880,8;878,3;1056,4;1192,5;1157,2;1077;1100,8;1011,7;1093,5;1128,8;1076,6;1030,4;1064,1;1266,6;1244;1230,5;1272,3
Fiji;�68;32,7;38,1;39,7;41,8;39;40,7;42,5;43,5;41;38,4;27,7;28,8;38,3;38,8;36,2;43,3;53,8;49,1;61;84,5;59,5;56,7;55,5;66,7;64,8;63,4;81,6;46,4;59,2;81,9;88,6;86,3;77,9;75;74,3;79,6;83,8
New Zealand;;290,7;288,8;316,2;286,8;247,8;244;272,4;314,4;334,4;314,4;255,2;253,7;223,2;205,9;221,2;273,6;294,2;314;326,8;378,6;361,9;341,5;406;443,6;444,2;441,1;445,2;380;412,1;450,1;473,8;551,6;557,9;569,4;553,4;588;577,3
Papua New Guinea;�69;12,6;14,1;17,9;13,3;14,3;16,2;18,9;12,4;16,7;16,2;9,8;6,8;6,2;4,5;2,9;3,2;3,9;4,7;4,7;5,7;5,6;7,1;6,2;8,3;13,9;12,8;13,4;11,6;8,9;8,9;8,6;9,7;9,6;8,9;13,1;9,4;8,7
Afghanistan;2;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5,4;5,1;5,3;8,5;9,3;9,3;10,7;11,4;7,9;7;8,3;6;5,4;5,4;5,5;6,1;7,3;7;...;...;...
Bangladesh;9;3,1;3,5;3,4;3,4;3,7;4;4,6;5,1;5,2;5,4;5,5;5,6;5,6;5,2;4,9;5,1;5,4;5,4;5,7;6,5;6,9;8,4;10,7;11,8;11,8;13,1;15;17,7;20,2;20,2;22,4;26,5;28,1;29;25;22,2;23,4
India;59;13,9;12,7;12,3;9,9;9;9;9,5;10,3;10,2;11,6;11,8;13,5;13,6;13,7;13,6;14,8;18;20,1;20,6;23,9;27,5;31,8;37,3;39,6;37,2;36,8;39;38,9;42,4;47,7;48,5;51,7;52,2;54,2;56,4;57,5;59,6
